voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
kirk-bohls,kansas-state-wildcats,-0.4287068952693073,-0.4497777913091378,-0.4624253571177634,-4.409090909090909,-4.259545454545455,66
sam-mckewon,utah-utes,-0.3597382615704436,-0.5768311864629575,-0.5474826992825118,-2.8536585365853657,-4.062951219512195,82
soren-petro,michigan-wolverines,-0.2085132297491372,-0.4213595201312066,-0.3991390675060865,-2.358490566037736,-3.907962264150944,53
nathan-baird,penn-state-nittany-lions,-0.338216247824698,-0.5583526510133392,-0.5589996652712915,-2.3529411764705883,-3.726980392156863,51
scott-wolf,florida-state-seminoles,-0.1208716727283978,-0.7747186261783193,-0.7226700903601488,-1.7222222222222223,-3.6783703703703705,54
kirk-bohls,boise-state-broncos,-0.2634346179405821,-0.2912554607735658,-0.3090119301714388,-3.3846153846153846,-3.515057692307692,52
kirk-bohls,ucf-knights,-0.1853557418459452,-0.283377092196853,-0.2830990475887164,-2.576923076923077,-3.389230769230769,52
sam-mckewon,iowa-hawkeyes,-0.1447325617058612,-0.3112977078863377,-0.3119982631373801,-2.2063492063492065,-3.3535079365079365,63
eric-hansen,cincinnati-bearcats,-0.2296397867100518,-0.612026116322572,-0.5993666524095249,-1.6,-3.3257200000000005,50
eric-hansen,ole-miss-rebels,-0.3358443132286144,-0.6912460445417768,-0.6893677619517004,-1.3448275862068966,-3.27951724137931,58
tom-murphy,mississippi-state-bulldogs,-0.2048553374962267,-0.5071772813138966,-0.4832377613961834,-2.574074074074074,-3.244092592592592,54
matt-brown,miami-fl-hurricanes,-0.1661278533414756,-0.4017351946559188,-0.3828161389693897,-1.3703703703703705,-3.230462962962963,54
jon-wilner,texas-am-aggies,-0.4524251587340729,-0.7106329946232545,-0.7096635831135722,-2.4302325581395348,-3.223325581395348,86
soren-petro,auburn-tigers,-0.1199212706149443,-0.3197751447474061,-0.3215429771547973,-1.490566037735849,-3.162811320754716,53
tom-murphy,florida-gators,-0.1463357202334313,-0.3558469159201414,-0.3393756725643532,-1.6404494382022472,-3.16076404494382,89
jon-wilner,lsu-tigers,-0.418993407188039,-0.8979137642957958,-0.8968036516716168,-1.6218487394957983,-3.1581932773109247,119
gary-horowitz,penn-state-nittany-lions,-0.1177865750234171,-0.423086796614068,-0.3949622788632076,-1.1228070175438596,-3.1570526315789476,57
don-williams,lsu-tigers,0.0161641673738448,-0.5752588669933807,-0.5539618088005185,-1.0806451612903225,-3.1511612903225807,62
dylan-sinn,penn-state-nittany-lions,-0.1999215288422665,-0.4283329870306227,-0.4155006087386577,-1.576271186440678,-3.1478644067796613,59
sam-mckewon,usc-trojans,-0.1870828242836917,-0.3380935857200724,-0.3324384407660867,-2.3292682926829267,-3.143975609756098,82
jerry-dipaola,lsu-tigers,-0.0777065581448612,-0.5810684494584311,-0.571698426117183,-1.6615384615384616,-3.126123076923077,65
brian-howell,usc-trojans,-0.1939927308050877,-0.4678042974529164,-0.4430875656278132,-1.4266666666666667,-3.1183599999999996,75
bob-asmussen,michigan-state-spartans,-0.2110150026779603,-0.514805036456093,-0.4891875808599014,-1.4516129032258065,-3.101596774193549,62
ross-dellenger,oklahoma-sooners,-0.3755984539053424,-0.8561616936477514,-0.8247895010762658,-1.4166666666666667,-3.098933333333333,60
don-williams,wisconsin-badgers,-0.1691519613756,-0.3295434809202238,-0.3284587272909071,-1.7058823529411764,-3.0988431372549017,51
steve-batterson,ohio-state-buckeyes,-0.2921637004970338,-1.133530434804393,-1.081406575677409,-1.0208333333333333,-3.083979166666667,144
rob-long,penn-state-nittany-lions,-0.1348573185233802,-0.446586676183805,-0.4187892053203785,-1.0689655172413792,-3.043827586206896,58
eric-hansen,stanford-cardinal,-0.1670641805840519,-0.3377632239628612,-0.3284440816769468,-1.8333333333333333,-3.0366166666666667,60
eric-hansen,miami-fl-hurricanes,-0.1347842678539374,-0.3473314491017771,-0.3299842823078949,-1.509433962264151,-3.020396226415094,53
aaron-mcmann,florida-gators,-0.0568899928628435,-0.3596584750342668,-0.333000428744207,-0.6730769230769231,-3.020346153846155,52
matt-baker,auburn-tigers,-0.1002687600210819,-0.3379244284542255,-0.3324651277639566,-0.8235294117647058,-2.9992941176470587,51
tom-murphy,baylor-bears,-0.1985608860110665,-0.6803959193756023,-0.6186344358831585,-0.9420289855072465,-2.984942028985507,69
rob-long,notre-dame-fighting-irish,-0.14817293839706,-0.6004922290165169,-0.5722224118037998,-0.8421052631578947,-2.983821052631578,95
marc-weiszer,florida-state-seminoles,-0.1607117299922682,-0.4444102661060238,-0.4411889147793807,-1.4444444444444444,-2.9766190476190477,63
ross-dellenger,florida-state-seminoles,-0.1853048111570456,-0.9804430046698396,-0.8844206192831514,-1.0185185185185186,-2.9746666666666663,54
brian-howell,cincinnati-bearcats,-0.1056133860403539,-0.4207252457114052,-0.4141135887436207,-1.3333333333333333,-2.938166666666667,54
keith-sargeant,notre-dame-fighting-irish,-0.1905114211146114,-0.6075773171029274,-0.586899037596944,-0.7457627118644068,-2.9263728813559324,59
rob-long,michigan-state-spartans,-0.2815363426797427,-0.6236571059808876,-0.6001200369780504,-1.181818181818182,-2.922963636363636,55
jon-wilner,texas-longhorns,-0.2303916185480151,-0.6017384053376958,-0.5716543039404484,-1.4931506849315068,-2.915821917808219,73
nathan-baird,michigan-wolverines,-0.1422411587444267,-0.5320125536632178,-0.5142029735655036,-1.2407407407407407,-2.894981481481482,54
