voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
adam-zucker,alabama-crimson-tide,0.049254571771128054,-1.1544238724006892,-1.1100470170006593,0.17218543046357615,-2.0304768211920527,151
adam-zucker,clemson-tigers,0.1373833519586806,-0.586866774580403,-0.550520465300147,0.4573643410852713,-1.338480620155039,129
adam-zucker,georgia-bulldogs,0.08599373406144951,-0.8770128336984025,-0.8251542853458037,0.14728682170542637,-2.048550387596899,129
adam-zucker,notre-dame-fighting-irish,0.057652278971330725,-0.2626353956515094,-0.23863161811630457,0.48760330578512395,-1.7228925619834714,121
adam-zucker,ohio-state-buckeyes,-0.1128269181351373,-0.9535561429928147,-0.9227547756657345,0.0684931506849315,-2.0355,146
adam-zucker,oklahoma-sooners,-0.05374074938629568,-0.4195960141660833,-0.40005670353169936,0.12213740458015267,-1.7548778625954198,131
bob-asmussen,alabama-crimson-tide,0.09325253480882618,-1.140061532939185,-1.0958771728639278,0.059602649006622516,-2.1310000000000002,151
bob-asmussen,clemson-tigers,0.14305742274150018,-0.6741538928674548,-0.6306680193509985,0.45454545454545453,-1.4832954545454546,132
bob-asmussen,georgia-bulldogs,0.0863930300468762,-0.7522549792821818,-0.6909056328287096,-0.03076923076923077,-2.2305923076923073,130
bob-asmussen,notre-dame-fighting-irish,0.06095602813680289,-0.2807876492077317,-0.2603936991810487,0.36585365853658536,-1.8791626016260166,123
bob-asmussen,ohio-state-buckeyes,-0.26185259338634775,-1.138302661428514,-1.1010309611869027,-0.6644295302013423,-2.714563758389262,149
bob-asmussen,oklahoma-sooners,0.03257727045382762,-0.2891459967851424,-0.27766040924979635,0.23484848484848486,-1.6784696969696968,132
brett-mcmurphy,alabama-crimson-tide,0.12654508846561827,-1.0691880795082243,-1.0318286018617144,0.40397350993377484,-1.787112582781457,151
brett-mcmurphy,clemson-tigers,0.08864303483757896,-0.7348141496700348,-0.6900426752841811,0.34146341463414637,-1.560528455284553,123
brett-mcmurphy,georgia-bulldogs,0.12981975111375746,-0.9264906530664112,-0.8688105557170785,0.4307692307692308,-1.7804461538461538,130
brett-mcmurphy,notre-dame-fighting-irish,0.05003721703133467,-0.3266037239848281,-0.3033493724026232,0.592,-1.7746799999999998,125
brett-mcmurphy,ohio-state-buckeyes,0.33899234531918193,-0.5413653665810865,-0.5171732673456811,0.7724137931034483,-1.3210827586206897,145
brett-mcmurphy,oklahoma-sooners,0.056701364903899286,-0.265049264717466,-0.254482439265361,0.813953488372093,-1.158356589147287,129
brian-howell,alabama-crimson-tide,0.016208586342814534,-1.266486370816072,-1.21888782358581,-0.10738255033557047,-2.2366241610738253,149
brian-howell,clemson-tigers,-0.06795260543116141,-1.0191003464082036,-0.9743194472020953,-0.015384615384615385,-1.9755000000000005,130
brian-howell,georgia-bulldogs,0.10686334178641871,-0.9368459603037363,-0.8769506338008415,0.6692307692307692,-1.416276923076923,130
brian-howell,michigan-wolverines,0.07782384831164442,-0.37173232034141096,-0.32611045090022595,0.37209302325581395,-1.5085891472868218,129
brian-howell,notre-dame-fighting-irish,-0.07607716304873391,-0.4512250781436676,-0.43159734756127943,-0.536,-2.7919600000000004,125
brian-howell,ohio-state-buckeyes,0.05048865276138003,-0.7020631937663844,-0.6533022533022533,0.09090909090909091,-2.0394615384615387,143
brian-howell,oklahoma-sooners,-0.13685202860560478,-0.49628342874313475,-0.4765564503620549,-1.0875912408759123,-2.8745839416058394,137
chris-murray,alabama-crimson-tide,0.13495466609239065,-1.0957002186960634,-1.0467865135529806,0.40718562874251496,-1.781694610778443,167
chris-murray,clemson-tigers,0.020757072152857728,-0.8399242751620174,-0.7892483083012131,0.3805970149253731,-1.733216417910448,134
chris-murray,georgia-bulldogs,0.033414692646378176,-0.9336053417246402,-0.8754528024482221,0.1780821917808219,-1.9959246575342464,146
chris-murray,michigan-wolverines,0.23492134925536243,-0.2435027885878727,-0.20331117125173168,0.5813953488372093,-1.3706434108527132,129
